,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Ubn2,2.79E-10,0.307492298,0.321,0.287,6.99E-06,Ubn2
Csnk1a1,1.65E-09,0.313646093,0.27,0.217,4.13E-05,Csnk1a1
Dtna,6.54E-10,0.317183208,0.348,0.294,1.64E-05,Dtna
Snhg11,1.09E-15,0.323159917,0.431,0.41,2.72E-11,Snhg11
Ubr3,2.26E-14,0.326066142,0.255,0.232,5.67E-10,Ubr3
Pam,2.01E-08,0.326445375,0.279,0.24,0.000502576,Pam
Ncor1,4.06E-10,0.329962632,0.345,0.294,1.02E-05,Ncor1
Usp34,5.44E-12,0.331674717,0.366,0.318,1.36E-07,Usp34
Rbm39,2.30E-22,0.340839313,0.522,0.483,5.77E-18,Rbm39
Glg1,6.31E-12,0.342348905,0.382,0.324,1.58E-07,Glg1
Lcorl,3.75E-10,0.342927809,0.253,0.216,9.38E-06,Lcorl
Nipbl,5.49E-13,0.347815513,0.368,0.318,1.37E-08,Nipbl
Nsd3,2.64E-11,0.348010426,0.271,0.23,6.60E-07,Nsd3
Tnrc6b,2.66E-15,0.349957916,0.415,0.37,6.67E-11,Tnrc6b
Faf1,2.91E-10,0.360612259,0.265,0.217,7.28E-06,Faf1
Srsf7,6.99E-12,0.361657909,0.281,0.231,1.75E-07,Srsf7
Zfp280d,3.63E-12,0.371170357,0.284,0.233,9.10E-08,Zfp280d
Usp9x,6.93E-12,0.380711495,0.28,0.229,1.74E-07,Usp9x
Xist,4.68E-14,0.383035968,0.402,0.303,1.17E-09,Xist
Lrrc8b,6.64E-15,0.388235759,0.302,0.267,1.66E-10,Lrrc8b
Stag1,9.73E-16,0.392998219,0.398,0.331,2.44E-11,Stag1
Tmem243,4.91E-12,0.394900454,0.269,0.216,1.23E-07,Tmem243
Ext1,1.60E-15,0.395088267,0.278,0.244,4.00E-11,Ext1
Arhgef12,1.74E-12,0.395115436,0.336,0.264,4.36E-08,Arhgef12
Rock1,1.11E-13,0.401318849,0.27,0.221,2.77E-09,Rock1
Ralgapa1,2.82E-17,0.412538979,0.358,0.291,7.07E-13,Ralgapa1
Malat1,5.68E-117,0.414848102,1,1,1.42E-112,Malat1
Gsk3b,7.56E-13,0.418954227,0.255,0.195,1.89E-08,Gsk3b
Dnajc1,1.44E-15,0.420211001,0.31,0.239,3.61E-11,Dnajc1
Srsf11,9.42E-16,0.430727841,0.288,0.224,2.36E-11,Srsf11
Psme4,1.49E-14,0.433778839,0.251,0.195,3.72E-10,Psme4
Arih1,3.81E-19,0.434977064,0.328,0.271,9.55E-15,Arih1
Rb1,3.46E-17,0.435259283,0.3,0.239,8.66E-13,Rb1
Gm20388,4.10E-34,0.451903694,0.713,0.664,1.03E-29,Gm20388
Kmt2a,4.05E-15,0.45285096,0.278,0.211,1.01E-10,Kmt2a
Cnot4,1.69E-17,0.461706596,0.315,0.243,4.22E-13,Cnot4
1110051M20Rik,1.05E-15,0.465354734,0.256,0.188,2.62E-11,1110051M20Rik
Pde1c,1.74E-21,0.471983913,0.348,0.298,4.37E-17,Pde1c
Ankhd1,8.22E-19,0.473709676,0.319,0.245,2.06E-14,Ankhd1
Rab2a,1.79E-17,0.475002203,0.258,0.186,4.48E-13,Rab2a
Gbf1,6.82E-16,0.481656447,0.263,0.197,1.71E-11,Gbf1
Prrc2c,3.39E-21,0.485996193,0.344,0.268,8.48E-17,Prrc2c
Kansl1,1.10E-27,0.501782475,0.418,0.346,2.75E-23,Kansl1
Samd4,8.36E-19,0.518518324,0.362,0.308,2.09E-14,Samd4
Ahi1,1.06E-22,0.536270499,0.27,0.19,2.66E-18,Ahi1
Mark3,2.24E-23,0.552907961,0.314,0.218,5.62E-19,Mark3
Arap2,4.83E-45,0.556740856,0.63,0.477,1.21E-40,Arap2
Jmjd1c,4.46E-28,0.561075607,0.358,0.271,1.12E-23,Jmjd1c
Fam196a,1.94E-23,0.56187899,0.295,0.219,4.87E-19,Fam196a
Lncpint,4.70E-32,0.564520917,0.452,0.345,1.18E-27,Lncpint
Dpy19l1,3.25E-27,0.564857642,0.339,0.262,8.14E-23,Dpy19l1
Prpf4b,2.39E-36,0.566280516,0.532,0.406,5.97E-32,Prpf4b
Klf9,1.39E-19,0.570626065,0.254,0.163,3.48E-15,Klf9
Birc6,3.32E-26,0.574088888,0.35,0.259,8.32E-22,Birc6
Dock1,8.61E-63,0.598827075,0.679,0.573,2.16E-58,Dock1
Zfp407,7.27E-28,0.633241865,0.253,0.153,1.82E-23,Zfp407
Ascc3,1.86E-28,0.634549684,0.316,0.207,4.66E-24,Ascc3
Syne1,2.65E-27,0.63644997,0.276,0.178,6.63E-23,Syne1
Zfand3,2.92E-30,0.640989669,0.3,0.209,7.32E-26,Zfand3
Kirrel3,1.45E-46,0.646036344,0.711,0.571,3.64E-42,Kirrel3
Gm37240,9.11E-31,0.659804826,0.364,0.242,2.28E-26,Gm37240
Cdk12,2.42E-34,0.66670367,0.339,0.221,6.06E-30,Cdk12
Eef1a1,8.42E-32,0.674569753,0.308,0.199,2.11E-27,Eef1a1
Ankrd11,6.43E-43,0.70419327,0.395,0.258,1.61E-38,Ankrd11
Negr1,1.07E-37,0.734867759,0.252,0.19,2.67E-33,Negr1
Extl3,2.76E-33,0.751912648,0.253,0.143,6.91E-29,Extl3
Tanc2,1.05E-54,0.755027444,0.439,0.32,2.63E-50,Tanc2
Exoc4,1.80E-91,0.786744311,0.668,0.484,4.52E-87,Exoc4
Cadm1,3.11E-69,0.791472035,0.532,0.392,7.78E-65,Cadm1
Large1,9.68E-42,0.804789223,0.252,0.143,2.42E-37,Large1
Eprs,3.26E-48,0.848100325,0.261,0.125,8.15E-44,Eprs
Adgrl3,1.05E-48,0.881251889,0.309,0.202,2.64E-44,Adgrl3
Rnf169,6.01E-52,0.887251364,0.303,0.158,1.50E-47,Rnf169
Frmd4a,1.03E-58,0.89099737,0.345,0.21,2.57E-54,Frmd4a
Mast2,6.58E-54,0.911293511,0.255,0.116,1.65E-49,Mast2
Myo1e,1.31E-55,0.919005443,0.309,0.185,3.28E-51,Myo1e
Dusp10,3.80E-56,0.922474778,0.289,0.141,9.53E-52,Dusp10
Lrrc8c,1.41E-50,0.928691628,0.292,0.153,3.52E-46,Lrrc8c
Actr2,1.02E-57,0.942030731,0.252,0.112,2.56E-53,Actr2
Atxn1,8.30E-56,0.982043696,0.262,0.13,2.08E-51,Atxn1
Dip2c,4.54E-117,1.047949802,0.564,0.353,1.14E-112,Dip2c
Gab2,1.90E-106,1.121862936,0.471,0.227,4.76E-102,Gab2
Maml3,1.14E-74,1.141161174,0.295,0.123,2.86E-70,Maml3
Pvt1,2.77E-117,1.192690193,0.504,0.272,6.95E-113,Pvt1
Mdm2,4.90E-85,1.238608711,0.299,0.127,1.23E-80,Mdm2
Arid5b,2.94E-126,1.248350178,0.47,0.231,7.35E-122,Arid5b
H3f3b,6.72E-100,1.255359055,0.381,0.171,1.68E-95,H3f3b
Ddhd1,9.26E-111,1.293308521,0.365,0.171,2.32E-106,Ddhd1
Gfra1,2.06E-103,1.30012637,0.296,0.094,5.16E-99,Gfra1
Aff2,1.23E-106,1.304026609,0.357,0.135,3.07E-102,Aff2
Zmiz1,2.11E-122,1.409173107,0.327,0.107,5.29E-118,Zmiz1
Abca1,2.35E-192,1.454461459,0.532,0.222,5.88E-188,Abca1
Gfod1,3.26E-130,1.464583938,0.342,0.116,8.17E-126,Gfod1
Ttr,1.00E-180,1.486416459,0.571,0.254,2.51E-176,Ttr
Dthd1,5.03E-137,1.582902595,0.305,0.074,1.26E-132,Dthd1
Tenm4,6.65E-127,1.589382409,0.33,0.114,1.67E-122,Tenm4
Nav2,4.74E-216,1.682861777,0.53,0.23,1.19E-211,Nav2
