,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Ext1.1,2.84E-70,0.306158386,0.564,0.402,7.61E-66,4,Ext1
Tom1l2.1,4.68E-70,-0.321103866,0.538,0.55,1.26E-65,4,Tom1l2
Nipa1.1,4.87E-70,0.320523519,0.402,0.259,1.31E-65,4,Nipa1
1500015L24Rik,8.62E-70,0.279065742,0.29,0.175,2.31E-65,4,1500015L24Rik
Tnik.2,1.36E-69,-0.628392949,0.167,0.258,3.64E-65,4,Tnik
Ppp1r16b.1,1.48E-69,-0.298337506,0.876,0.869,3.98E-65,4,Ppp1r16b
Dock9.2,1.55E-69,0.292818131,0.809,0.663,4.15E-65,4,Dock9
Nrbp2.2,1.59E-69,0.240168779,0.632,0.477,4.27E-65,4,Nrbp2
Plp1.2,2.09E-69,0.185448338,0.999,0.991,5.61E-65,4,Plp1
Lgi3.1,3.99E-69,-0.453670192,0.339,0.416,1.07E-64,4,Lgi3
Fez1.1,1.23E-68,0.241189056,0.448,0.309,3.29E-64,4,Fez1
Synj2.1,1.64E-68,0.233033371,0.648,0.495,4.39E-64,4,Synj2
Garem1,2.80E-68,0.33156128,0.329,0.2,7.53E-64,4,Garem1
Dlg1.1,5.96E-68,-0.266130136,0.78,0.774,1.60E-63,4,Dlg1
Npas3.1,6.67E-68,-0.420060353,0.667,0.686,1.79E-63,4,Npas3
Apbb2.2,7.00E-68,0.257260857,0.729,0.573,1.88E-63,4,Apbb2
Nsmf,1.26E-67,0.279710447,0.291,0.172,3.38E-63,4,Nsmf
Pcsk6.1,1.86E-67,0.300982635,0.403,0.265,4.98E-63,4,Pcsk6
Ppp2r2c.1,4.57E-67,0.340871388,0.343,0.208,1.23E-62,4,Ppp2r2c
Hepacam,6.48E-67,-0.250408627,0.513,0.5,1.74E-62,4,Hepacam
Daam2.2,7.78E-67,0.253417581,0.855,0.721,2.09E-62,4,Daam2
Mir99ahg,1.42E-66,0.276942035,0.607,0.45,3.80E-62,4,Mir99ahg
Fam171a1,6.90E-66,0.32974693,0.312,0.185,1.85E-61,4,Fam171a1
Osbpl7,1.09E-65,0.325775855,0.299,0.176,2.92E-61,4,Osbpl7
Tbcd.1,1.26E-65,0.299850703,0.455,0.309,3.39E-61,4,Tbcd
Picalm.1,1.57E-65,0.249506679,0.708,0.554,4.22E-61,4,Picalm
Scmh1.1,1.85E-65,0.313778292,0.374,0.239,4.96E-61,4,Scmh1
Kcnk13,2.07E-65,0.210587971,0.598,0.451,5.56E-61,4,Kcnk13
Foxn3.1,2.72E-65,-0.292137855,0.753,0.75,7.31E-61,4,Foxn3
4732471J01Rik.1,2.80E-65,0.318637866,0.383,0.247,7.52E-61,4,4732471J01Rik
Plekhg1.2,3.92E-65,0.292035083,0.792,0.648,1.05E-60,4,Plekhg1
Cd81.2,1.35E-64,-0.41202573,0.366,0.422,3.62E-60,4,Cd81
Lama2.2,1.44E-64,0.170709115,0.518,0.383,3.87E-60,4,Lama2
Kndc1.1,4.90E-64,-0.365790177,0.437,0.475,1.32E-59,4,Kndc1
9330111N05Rik.3,5.61E-64,-1.072624437,0.166,0.262,1.50E-59,4,9330111N05Rik
Adipor2.2,1.58E-63,0.346411676,0.839,0.713,4.25E-59,4,Adipor2
Qdpr.1,1.68E-63,-0.401667017,0.347,0.404,4.52E-59,4,Qdpr
Ppip5k2,1.76E-63,0.262037751,0.329,0.208,4.71E-59,4,Ppip5k2
Cadm1.2,1.78E-63,-0.439958018,0.481,0.525,4.77E-59,4,Cadm1
Far1os,2.22E-63,0.297534,0.269,0.154,5.96E-59,4,Far1os
Dctn4.1,2.91E-63,0.317194024,0.385,0.249,7.81E-59,4,Dctn4
Ralgps1.2,1.41E-62,-0.242261186,0.646,0.621,3.78E-58,4,Ralgps1
Mapkap1.1,2.43E-62,0.274909359,0.471,0.329,6.51E-58,4,Mapkap1
Nipal4,2.71E-62,0.300732306,0.252,0.143,7.26E-58,4,Nipal4
Fgfr2.1,2.74E-62,-0.278500373,0.936,0.934,7.36E-58,4,Fgfr2
Xrcc6.1,2.94E-62,-0.399480948,0.405,0.455,7.88E-58,4,Xrcc6
Strn.1,5.90E-62,0.226718425,0.379,0.257,1.58E-57,4,Strn
Ndrg1.2,6.55E-62,0.217056186,0.421,0.294,1.76E-57,4,Ndrg1
Acot7.1,1.13E-61,0.296579412,0.372,0.241,3.03E-57,4,Acot7
Mfsd14a,1.59E-61,0.316715077,0.297,0.177,4.27E-57,4,Mfsd14a
Dennd1a.1,1.96E-61,0.284360973,0.702,0.551,5.26E-57,4,Dennd1a
Ago3.1,2.07E-61,0.257197695,0.549,0.403,5.55E-57,4,Ago3
Sypl,2.33E-61,0.320072929,0.301,0.18,6.25E-57,4,Sypl
Adap1.1,4.89E-61,0.281253245,0.486,0.344,1.31E-56,4,Adap1
Gal3st1.1,5.50E-61,0.262556608,0.437,0.303,1.48E-56,4,Gal3st1
Mtmr2.1,7.53E-61,-0.448657383,0.317,0.397,2.02E-56,4,Mtmr2
Dock5.2,9.13E-61,0.195544231,0.638,0.498,2.45E-56,4,Dock5
Mfn1.1,1.34E-60,0.244790133,0.353,0.232,3.60E-56,4,Mfn1
Metap1d,2.76E-60,0.298194703,0.306,0.188,7.42E-56,4,Metap1d
Gm42413.1,3.08E-60,-0.41282506,0.428,0.486,8.25E-56,4,Gm42413
Dixdc1.2,3.42E-60,0.227640537,0.582,0.44,9.17E-56,4,Dixdc1
Ptn.2,3.50E-60,-0.343882102,0.574,0.596,9.40E-56,4,Ptn
Slc25a13.2,3.53E-60,0.308399433,0.546,0.397,9.47E-56,4,Slc25a13
Itpk1.2,5.61E-60,0.17666006,0.67,0.531,1.51E-55,4,Itpk1
Mettl7a1.2,6.40E-60,0.288938089,0.453,0.315,1.72E-55,4,Mettl7a1
Amph.1,9.38E-60,-0.372761513,0.447,0.483,2.52E-55,4,Amph
Syne1.1,9.43E-60,-0.506370859,0.186,0.263,2.53E-55,4,Syne1
Mpzl1,1.42E-59,0.152769683,0.431,0.314,3.80E-55,4,Mpzl1
Rffl.1,1.15E-58,0.273867425,0.723,0.577,3.09E-54,4,Rffl
Elovl5,1.66E-58,0.247859533,0.273,0.168,4.45E-54,4,Elovl5
Skap2.2,2.12E-58,0.259994649,0.403,0.276,5.68E-54,4,Skap2
Nfia.1,4.31E-58,-0.302323548,0.768,0.782,1.16E-53,4,Nfia
Dip2a.2,5.41E-58,0.227238524,0.782,0.645,1.45E-53,4,Dip2a
Stxbp6.2,4.32E-57,0.238393148,0.716,0.573,1.16E-52,4,Stxbp6
Fign.2,4.62E-57,-0.364886329,0.435,0.454,1.24E-52,4,Fign
Cdh2.1,4.68E-57,0.205735533,0.7,0.561,1.25E-52,4,Cdh2
Adgrl3.1,5.92E-57,-0.570815845,0.2,0.283,1.59E-52,4,Adgrl3
Cntln,1.54E-56,0.24280337,0.284,0.177,4.14E-52,4,Cntln
Prima1.1,1.99E-56,0.276962375,0.407,0.278,5.35E-52,4,Prima1
Abtb2,2.75E-56,0.224540745,0.28,0.178,7.37E-52,4,Abtb2
Ugt8a.2,3.12E-56,0.228189073,0.853,0.732,8.37E-52,4,Ugt8a
Itgav.1,4.14E-56,0.23056255,0.359,0.244,1.11E-51,4,Itgav
Dleu2.1,5.20E-56,-0.278504815,0.677,0.674,1.39E-51,4,Dleu2
Prkacb.1,8.90E-56,0.220927952,0.448,0.322,2.39E-51,4,Prkacb
Rhou.1,9.85E-56,0.251258128,0.575,0.434,2.64E-51,4,Rhou
B3galt5.2,1.08E-55,0.220802258,0.426,0.304,2.91E-51,4,B3galt5
Clic4.1,1.23E-55,-0.351776129,0.439,0.479,3.30E-51,4,Clic4
Fsd1l,1.38E-55,0.155570818,0.365,0.261,3.71E-51,4,Fsd1l
Jph1.2,2.20E-55,0.271347179,0.525,0.385,5.91E-51,4,Jph1
Sh3gl3.2,2.23E-55,-0.444217666,0.254,0.314,5.98E-51,4,Sh3gl3
Mog.2,4.28E-55,0.207891806,0.917,0.817,1.15E-50,4,Mog
Dop1b.1,5.16E-55,0.150382855,0.394,0.288,1.38E-50,4,Dop1b
Baz2b.1,5.27E-55,0.215414298,0.892,0.783,1.41E-50,4,Baz2b
Magi1,5.87E-55,0.17782461,0.715,0.582,1.57E-50,4,Magi1
Kcnab1.1,1.07E-54,-0.308872712,0.651,0.64,2.86E-50,4,Kcnab1
Gm48508,1.09E-54,0.319517214,0.317,0.199,2.92E-50,4,Gm48508
Csrp1.1,1.24E-54,-0.321837575,0.521,0.557,3.32E-50,4,Csrp1
Diaph2.1,2.59E-54,0.277427327,0.387,0.261,6.96E-50,4,Diaph2
Exoc4.2,3.69E-54,-0.208048057,0.702,0.66,9.91E-50,4,Exoc4
Afdn.2,5.52E-54,0.216077195,0.449,0.326,1.48E-49,4,Afdn
Agap1,5.83E-54,-0.198746865,0.92,0.892,1.56E-49,4,Agap1
Ttll7,8.95E-54,-0.166848142,0.858,0.819,2.40E-49,4,Ttll7
Scaper,1.49E-53,0.145312734,0.459,0.345,4.01E-49,4,Scaper
Psd3.1,1.50E-53,0.119453367,0.506,0.392,4.02E-49,4,Psd3
Cttnbp2.1,1.58E-53,-0.276606283,0.615,0.614,4.24E-49,4,Cttnbp2
Desi1.1,1.68E-53,-0.351408748,0.353,0.392,4.51E-49,4,Desi1
Tmeff1.2,4.15E-53,0.214514001,0.576,0.443,1.11E-48,4,Tmeff1
Dync1i1.2,6.58E-53,0.222405094,0.361,0.248,1.77E-48,4,Dync1i1
Elavl3.1,1.01E-52,0.1782078,0.608,0.478,2.72E-48,4,Elavl3
Stard13.1,1.24E-52,-0.329945592,0.57,0.59,3.34E-48,4,Stard13
9330159F19Rik.1,1.93E-52,0.186049357,0.455,0.336,5.18E-48,4,9330159F19Rik
Ldlrad3,2.90E-52,0.180681828,0.436,0.321,7.77E-48,4,Ldlrad3
Psap.1,6.15E-52,-0.359031284,0.344,0.387,1.65E-47,4,Psap
Gpatch8.1,8.58E-52,0.222424971,0.738,0.604,2.30E-47,4,Gpatch8
Sec61a2.1,1.07E-51,0.168961577,0.328,0.229,2.88E-47,4,Sec61a2
Vgll4.1,1.91E-51,0.185370989,0.462,0.342,5.12E-47,4,Vgll4
Snx1.1,2.11E-51,0.214688262,0.405,0.288,5.66E-47,4,Snx1
Dnmt3a.1,3.26E-51,-0.237249585,0.408,0.406,8.75E-47,4,Dnmt3a
Mpp5.1,3.69E-51,0.15833271,0.424,0.315,9.90E-47,4,Mpp5
Prkcq.1,4.08E-51,-0.434375172,0.303,0.382,1.09E-46,4,Prkcq
Fbxo7.1,4.15E-51,-0.330881649,0.285,0.318,1.11E-46,4,Fbxo7
Eif4g3.1,5.43E-51,0.217912172,0.476,0.35,1.46E-46,4,Eif4g3
Slc20a2.1,7.29E-51,0.196120462,0.528,0.402,1.96E-46,4,Slc20a2
Tanc1.2,8.39E-51,0.146911272,0.544,0.424,2.25E-46,4,Tanc1
St6gal1.1,8.60E-51,-0.253807489,0.59,0.593,2.31E-46,4,St6gal1
Zhx3.1,1.07E-50,0.212645914,0.327,0.223,2.87E-46,4,Zhx3
8-Sep,2.11E-50,0.183145734,0.274,0.182,5.67E-46,4,8-Sep
Litaf.1,2.30E-50,0.19184038,0.602,0.472,6.18E-46,4,Litaf
Nfat5.1,3.28E-50,0.324751103,0.525,0.387,8.80E-46,4,Nfat5
Phactr4.1,5.55E-50,0.264249947,0.352,0.238,1.49E-45,4,Phactr4
Stox2.1,5.56E-50,-0.306343569,0.475,0.487,1.49E-45,4,Stox2
Prickle2.2,5.72E-50,0.182690783,0.955,0.889,1.53E-45,4,Prickle2
Rabgap1l,5.88E-50,0.133792572,0.689,0.565,1.58E-45,4,Rabgap1l
Rab11fip4,1.01E-49,0.166289031,0.3,0.208,2.72E-45,4,Rab11fip4
Tesk2.1,1.25E-49,0.260250188,0.34,0.227,3.36E-45,4,Tesk2
Cobl.1,1.39E-49,-0.409094977,0.331,0.393,3.72E-45,4,Cobl
Abhd12,1.39E-49,0.274852855,0.296,0.188,3.73E-45,4,Abhd12
Tbc1d14,2.31E-49,0.149419145,0.257,0.174,6.20E-45,4,Tbc1d14
Fnip2.2,2.34E-49,-0.393846124,0.279,0.331,6.29E-45,4,Fnip2
Ermn.1,2.51E-49,0.240107889,0.574,0.44,6.74E-45,4,Ermn
Mbp.1,3.34E-49,0.128247868,1,0.992,8.96E-45,4,Mbp
Gm35188,3.60E-49,0.180655733,0.494,0.375,9.65E-45,4,Gm35188
Mitf.1,4.28E-49,0.172889874,0.415,0.304,1.15E-44,4,Mitf
Cryab.3,4.75E-49,-0.442237125,0.223,0.276,1.28E-44,4,Cryab
Dock3.1,4.95E-49,0.169848699,0.631,0.507,1.33E-44,4,Dock3
Kcna6.1,6.78E-49,-0.322371994,0.376,0.41,1.82E-44,4,Kcna6
Tubb4a,8.08E-49,-0.166009633,0.734,0.699,2.17E-44,4,Tubb4a
Myo6.2,9.38E-49,0.128869986,0.835,0.721,2.52E-44,4,Myo6
Grik4,9.68E-49,0.192722533,0.306,0.208,2.60E-44,4,Grik4
Plcb4,1.22E-48,0.287391746,0.293,0.186,3.28E-44,4,Plcb4
Secisbp2l.1,1.46E-48,0.162218703,0.469,0.357,3.92E-44,4,Secisbp2l
Frmd4b,1.49E-48,-0.158500627,0.887,0.85,4.01E-44,4,Frmd4b
Rnf216,1.89E-48,0.185676311,0.447,0.332,5.08E-44,4,Rnf216
Gm13905.1,2.12E-48,0.194953416,0.325,0.224,5.68E-44,4,Gm13905
Stmn1.1,2.52E-48,0.15653992,0.331,0.237,6.76E-44,4,Stmn1
App,2.67E-48,-0.215863451,0.935,0.923,7.18E-44,4,App
Mbnl1,2.70E-48,0.215177461,0.605,0.474,7.24E-44,4,Mbnl1
Fa2h.2,2.90E-48,0.14168871,0.85,0.739,7.78E-44,4,Fa2h
Zfhx2os.1,3.02E-48,-0.367868417,0.208,0.261,8.11E-44,4,Zfhx2os
Arfgef2.1,3.28E-48,0.191421679,0.407,0.296,8.81E-44,4,Arfgef2
Cblb.1,3.55E-48,0.159477943,0.319,0.224,9.53E-44,4,Cblb
Zfhx2.2,4.51E-48,-0.388827628,0.228,0.288,1.21E-43,4,Zfhx2
Jam3.1,4.74E-48,0.110491343,0.584,0.474,1.27E-43,4,Jam3
Kcnma1.1,4.78E-48,-0.547102994,0.201,0.273,1.28E-43,4,Kcnma1
Cmtm5.1,5.49E-48,0.180976967,0.314,0.217,1.47E-43,4,Cmtm5
Pcm1,5.73E-48,0.143671835,0.511,0.399,1.54E-43,4,Pcm1
Kazn,5.84E-48,-0.115224564,0.515,0.471,1.57E-43,4,Kazn
Prag1.2,6.59E-48,-0.467988572,0.178,0.25,1.77E-43,4,Prag1
Hsp90ab1.3,7.47E-48,-0.346598212,0.292,0.326,2.01E-43,4,Hsp90ab1
Usp25.1,7.89E-48,0.228162235,0.373,0.26,2.12E-43,4,Usp25
Syt11.1,8.43E-48,-0.260828584,0.52,0.53,2.26E-43,4,Syt11
Gkap1,9.38E-48,0.246463314,0.317,0.211,2.52E-43,4,Gkap1
Gm12828,1.21E-47,0.235554978,0.256,0.161,3.25E-43,4,Gm12828
Abl1.1,1.22E-47,0.129131818,0.457,0.353,3.28E-43,4,Abl1
Slk,1.35E-47,-0.239248991,0.366,0.37,3.62E-43,4,Slk
Slain1.1,1.45E-47,0.157562648,0.797,0.677,3.90E-43,4,Slain1
Wdpcp,1.78E-47,0.172824697,0.26,0.173,4.78E-43,4,Wdpcp
Chn2.1,1.94E-47,-0.355994114,0.303,0.347,5.20E-43,4,Chn2
Rsf1.1,2.63E-47,0.126362745,0.431,0.329,7.05E-43,4,Rsf1
Tada2a,3.11E-47,0.215864217,0.284,0.188,8.34E-43,4,Tada2a
Hook3.1,3.49E-47,-0.168939454,0.547,0.515,9.38E-43,4,Hook3
Rasa3,3.64E-47,-0.105267595,0.392,0.351,9.76E-43,4,Rasa3
Arhgap32,3.80E-47,0.172271563,0.372,0.268,1.02E-42,4,Arhgap32
5330438D12Rik,4.46E-47,0.168155706,0.49,0.375,1.20E-42,4,5330438D12Rik
Nkain1,4.92E-47,-0.241572411,0.566,0.572,1.32E-42,4,Nkain1
Foxp1.2,7.56E-47,0.133743849,0.687,0.565,2.03E-42,4,Foxp1
Arhgap5.1,1.05E-46,0.158724349,0.505,0.39,2.81E-42,4,Arhgap5
Cux1,1.47E-46,0.205753733,0.302,0.204,3.95E-42,4,Cux1
Stxbp3,1.49E-46,0.136397563,0.504,0.394,4.01E-42,4,Stxbp3
Bcas1.1,2.19E-46,-0.225895054,0.773,0.76,5.88E-42,4,Bcas1
Crim1,2.34E-46,0.185474,0.27,0.182,6.27E-42,4,Crim1
Sema6a.1,2.59E-46,-0.340370704,0.527,0.556,6.94E-42,4,Sema6a
Adam10,2.64E-46,0.116730318,0.423,0.327,7.07E-42,4,Adam10
Cpm,3.23E-46,0.168468207,0.42,0.312,8.67E-42,4,Cpm
Iars,3.37E-46,0.186305613,0.297,0.202,9.05E-42,4,Iars
Fggy,3.39E-46,0.195882518,0.269,0.178,9.10E-42,4,Fggy
Fam171b,3.79E-46,0.120900312,0.386,0.29,1.02E-41,4,Fam171b
Kif1b.1,4.46E-46,0.193647653,0.958,0.902,1.20E-41,4,Kif1b
Grb14.1,5.58E-46,0.214926007,0.699,0.57,1.50E-41,4,Grb14
4-Sep,7.06E-46,-0.213705591,0.706,0.705,1.89E-41,4,4-Sep
Agpat4.1,9.19E-46,0.186645208,0.565,0.442,2.46E-41,4,Agpat4
Zfp280c,1.01E-45,0.216852487,0.55,0.424,2.71E-41,4,Zfp280c
Ccdc88a,1.10E-45,0.174180653,0.74,0.617,2.96E-41,4,Ccdc88a
Trip11,1.46E-45,0.128143017,0.426,0.327,3.92E-41,4,Trip11
Gramd1b,1.51E-45,0.18291087,0.386,0.28,4.04E-41,4,Gramd1b
Fam234a,1.51E-45,0.19231875,0.316,0.219,4.06E-41,4,Fam234a
Pld1.1,1.53E-45,0.12736704,0.409,0.312,4.09E-41,4,Pld1
Snx30.1,1.62E-45,-0.283740235,0.453,0.472,4.35E-41,4,Snx30
Trpc4ap.1,1.76E-45,0.215593238,0.377,0.268,4.73E-41,4,Trpc4ap
Jakmip2,1.77E-45,0.189586527,0.276,0.185,4.75E-41,4,Jakmip2
Smad7,1.88E-45,-0.149580901,0.558,0.524,5.05E-41,4,Smad7
Tnni1.1,2.01E-45,-0.416734774,0.185,0.25,5.40E-41,4,Tnni1
Arhgap21,2.08E-45,0.109540918,0.562,0.456,5.58E-41,4,Arhgap21
Rtkn2,2.24E-45,0.234170109,0.289,0.192,6.02E-41,4,Rtkn2
Insc,3.57E-45,0.103265642,0.458,0.359,9.57E-41,4,Insc
Npat.1,4.90E-45,0.212208338,0.37,0.263,1.31E-40,4,Npat
Rtn4.1,6.61E-45,0.204127414,0.949,0.894,1.77E-40,4,Rtn4
Myo1d.2,8.75E-45,0.120861889,0.791,0.678,2.35E-40,4,Myo1d
Rasal2.1,1.01E-44,0.203056973,0.471,0.354,2.72E-40,4,Rasal2
Jmjd1c.1,2.04E-44,-0.158689443,0.522,0.49,5.46E-40,4,Jmjd1c
Ppfibp2.2,2.12E-44,-0.168461174,0.611,0.573,5.68E-40,4,Ppfibp2
Flnb,2.13E-44,0.216920675,0.438,0.325,5.71E-40,4,Flnb
Enox1,2.31E-44,-0.205424638,0.856,0.832,6.20E-40,4,Enox1
Setd7,2.33E-44,0.125967787,0.299,0.215,6.25E-40,4,Setd7
Kat2b,2.46E-44,0.175407932,0.527,0.41,6.61E-40,4,Kat2b
Abca1.1,2.51E-44,0.110505873,0.401,0.305,6.74E-40,4,Abca1
Rictor.1,2.54E-44,-0.250726473,0.302,0.316,6.81E-40,4,Rictor
Chd9,2.92E-44,0.106488918,0.479,0.378,7.83E-40,4,Chd9
Ppp2r2a.1,3.56E-44,-0.147106942,0.583,0.55,9.56E-40,4,Ppp2r2a
1700025G04Rik,3.68E-44,0.199231249,0.341,0.24,9.88E-40,4,1700025G04Rik
Gprc5b.2,3.80E-44,-0.255420469,0.329,0.341,1.02E-39,4,Gprc5b
Cpeb3,4.33E-44,0.104342894,0.567,0.46,1.16E-39,4,Cpeb3
Ehbp1.1,4.54E-44,-0.253243172,0.422,0.426,1.22E-39,4,Ehbp1
Il18.1,8.52E-44,0.127861512,0.317,0.233,2.29E-39,4,Il18
Acyp2.1,1.04E-43,-0.318207129,0.391,0.401,2.78E-39,4,Acyp2
Phf14.1,1.07E-43,0.20197892,0.464,0.348,2.88E-39,4,Phf14
Arid1b,1.13E-43,-0.149714783,0.559,0.527,3.02E-39,4,Arid1b
Sgip1,1.15E-43,0.117970514,0.338,0.249,3.08E-39,4,Sgip1
Eps15.1,1.26E-43,-0.172352861,0.456,0.434,3.39E-39,4,Eps15
Pam.2,1.77E-43,0.131557119,0.442,0.34,4.76E-39,4,Pam
Schip1,1.89E-43,-0.183074141,0.685,0.657,5.08E-39,4,Schip1
Vldlr.1,1.90E-43,0.104606225,0.333,0.251,5.11E-39,4,Vldlr
Frs2,2.12E-43,0.117310205,0.258,0.181,5.68E-39,4,Frs2
Nkx2-2os,2.18E-43,0.327059319,0.267,0.167,5.84E-39,4,Nkx2-2os
Dock4.1,2.24E-43,-0.28640342,0.516,0.52,6.01E-39,4,Dock4
Afap1l1,2.66E-43,0.180842724,0.275,0.188,7.13E-39,4,Afap1l1
Meis1.1,3.49E-43,0.169651149,0.321,0.23,9.35E-39,4,Meis1
Hhip.2,3.74E-43,-0.451114184,0.22,0.286,1.00E-38,4,Hhip
Prdx1,4.02E-43,0.20960023,0.271,0.18,1.08E-38,4,Prdx1
Rabgap1,4.06E-43,-0.181415936,0.442,0.426,1.09E-38,4,Rabgap1
Trim35,4.24E-43,0.147221015,0.545,0.434,1.14E-38,4,Trim35
Nxpe4,5.14E-43,0.232037964,0.265,0.172,1.38E-38,4,Nxpe4
Ppp2r3a,6.88E-43,-0.107239414,0.759,0.705,1.85E-38,4,Ppp2r3a
Jak2.1,8.46E-43,0.165471851,0.41,0.308,2.27E-38,4,Jak2
Paip2,8.91E-43,0.104293253,0.499,0.401,2.39E-38,4,Paip2
Gria2.1,1.02E-42,-0.335718896,0.394,0.414,2.73E-38,4,Gria2
Bicc1.1,1.05E-42,-0.407515324,0.245,0.297,2.81E-38,4,Bicc1
Atp9a.1,1.18E-42,0.164090703,0.441,0.335,3.16E-38,4,Atp9a
Zfp532.1,1.38E-42,0.158255237,0.609,0.495,3.71E-38,4,Zfp532
Dis3l2,1.51E-42,0.225230513,0.587,0.462,4.05E-38,4,Dis3l2
Fam168a,1.57E-42,0.145375981,0.528,0.419,4.21E-38,4,Fam168a
Arglu1,1.74E-42,0.134803291,0.537,0.428,4.67E-38,4,Arglu1
Setd5,1.84E-42,0.100249339,0.543,0.441,4.93E-38,4,Setd5
Ogt,2.14E-42,0.104771869,0.506,0.407,5.74E-38,4,Ogt
Unc5c.1,2.21E-42,-0.257930948,0.862,0.849,5.92E-38,4,Unc5c
Dlg2.1,2.61E-42,0.143998542,0.977,0.934,7.00E-38,4,Dlg2
Sh3tc2,5.28E-42,0.175067624,0.292,0.204,1.42E-37,4,Sh3tc2
Pdcd6ip,5.46E-42,0.101631359,0.346,0.262,1.47E-37,4,Pdcd6ip
Plaat3,5.48E-42,0.142219714,0.474,0.372,1.47E-37,4,Plaat3
Atp2c1,5.69E-42,0.159687543,0.491,0.382,1.53E-37,4,Atp2c1
Luc7l2,5.96E-42,0.157127262,0.867,0.766,1.60E-37,4,Luc7l2
Hcn2,6.08E-42,0.150983716,0.27,0.188,1.63E-37,4,Hcn2
Abhd17b,6.67E-42,-0.166650333,0.599,0.574,1.79E-37,4,Abhd17b
Pik3r1,7.23E-42,-0.151020365,0.574,0.542,1.94E-37,4,Pik3r1
Prkcz,7.59E-42,-0.15554968,0.502,0.475,2.04E-37,4,Prkcz
Lcorl.2,7.61E-42,-0.257825542,0.403,0.405,2.04E-37,4,Lcorl
Kdm6a,7.96E-42,0.110969982,0.562,0.457,2.14E-37,4,Kdm6a
Tnks,1.03E-41,0.179936821,0.348,0.249,2.76E-37,4,Tnks
Nbas.1,1.33E-41,-0.170155204,0.802,0.767,3.56E-37,4,Nbas
Klf13.1,1.41E-41,-0.254190147,0.5,0.517,3.78E-37,4,Klf13
Megf10.1,1.56E-41,0.100207709,0.528,0.432,4.19E-37,4,Megf10
Meg3.2,1.64E-41,-0.473653982,0.492,0.586,4.40E-37,4,Meg3
Micu2,1.85E-41,0.151847212,0.332,0.24,4.96E-37,4,Micu2
Sbf2.1,2.20E-41,-0.116225033,0.513,0.472,5.90E-37,4,Sbf2
Ubr2.1,2.26E-41,-0.184022392,0.454,0.446,6.07E-37,4,Ubr2
Ncoa3,2.94E-41,0.10377068,0.344,0.263,7.90E-37,4,Ncoa3
Tsc1,3.15E-41,0.148406652,0.417,0.318,8.45E-37,4,Tsc1
Akap6.1,3.29E-41,0.159374179,0.742,0.626,8.82E-37,4,Akap6
Spag9,3.33E-41,0.156637489,0.688,0.573,8.93E-37,4,Spag9
Ubr5,4.25E-41,-0.13914548,0.357,0.33,1.14E-36,4,Ubr5
Sulf2.1,4.37E-41,-0.252966421,0.31,0.32,1.17E-36,4,Sulf2
Dip2b,4.96E-41,-0.143866914,0.825,0.787,1.33E-36,4,Dip2b
Tacc1.1,5.94E-41,0.20563911,0.45,0.339,1.59E-36,4,Tacc1
Endod1,6.42E-41,0.182002802,0.365,0.267,1.72E-36,4,Endod1
Adamtsl4,7.13E-41,0.226865872,0.273,0.181,1.91E-36,4,Adamtsl4
Fars2,7.73E-41,0.124368537,0.345,0.258,2.07E-36,4,Fars2
Tmcc1.1,7.91E-41,0.151844836,0.888,0.794,2.12E-36,4,Tmcc1
Sh3glb1.1,8.00E-41,0.129437068,0.338,0.253,2.15E-36,4,Sh3glb1
Csrnp3,8.27E-41,0.202897703,0.277,0.186,2.22E-36,4,Csrnp3
Specc1.1,9.92E-41,0.124036113,0.539,0.433,2.66E-36,4,Specc1
Ckb.2,1.16E-40,-0.383702596,0.228,0.289,3.11E-36,4,Ckb
Slc44a1.1,1.45E-40,0.152709656,0.835,0.731,3.90E-36,4,Slc44a1
Pard3.1,1.53E-40,0.195293619,0.767,0.652,4.11E-36,4,Pard3
Strbp,2.05E-40,-0.172377865,0.545,0.515,5.50E-36,4,Strbp
Tns3.1,2.53E-40,-0.169653478,0.334,0.311,6.79E-36,4,Tns3
A230057D06Rik.1,2.57E-40,0.289116088,0.372,0.262,6.90E-36,4,A230057D06Rik
Ankhd1.1,2.92E-40,-0.149080621,0.449,0.423,7.84E-36,4,Ankhd1
Lamp1.1,4.20E-40,-0.17656573,0.362,0.353,1.13E-35,4,Lamp1
Dnajb2,4.23E-40,-0.151416189,0.402,0.38,1.13E-35,4,Dnajb2
Snhg11.1,4.69E-40,-0.413553265,0.506,0.557,1.26E-35,4,Snhg11
Pik3c2b.2,4.76E-40,0.159342605,0.594,0.481,1.28E-35,4,Pik3c2b
Akt3,6.26E-40,0.136032124,0.412,0.316,1.68E-35,4,Akt3
Tfdp2,9.10E-40,0.140525038,0.452,0.352,2.44E-35,4,Tfdp2
Itprid2,1.03E-39,0.173467313,0.4,0.301,2.76E-35,4,Itprid2
Map4,1.05E-39,0.153046505,0.729,0.616,2.82E-35,4,Map4
Pja2,1.24E-39,0.138100967,0.271,0.191,3.33E-35,4,Pja2
Fxr1.1,1.81E-39,-0.143050577,0.39,0.369,4.85E-35,4,Fxr1
Cuedc1,1.83E-39,0.144721176,0.404,0.31,4.92E-35,4,Cuedc1
R3hdm1,1.89E-39,-0.136677327,0.596,0.561,5.06E-35,4,R3hdm1
