Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
Rara,"retinoic acid receptor, alpha",11,,regulation of myelination,,,ISO,RGD:3534 ,J:155856 
Rarb,"retinoic acid receptor, beta",14,,regulation of myelination,,,ISO,RGD:3535 ,J:155856 
Rarg,"retinoic acid receptor, gamma",15,,regulation of myelination,,,ISO,RGD:1583230 ,J:155856 
Reg2,regenerating islet-derived 2,6,,myelination,happens in hypoglossal nerve,,IMP,MGI:3812476 ,J:140023 
Rnf10,ring finger protein 10,5,,positive regulation of myelination,,,IBA,PTN002659240 ,J:265628 
Rnf10,ring finger protein 10,5,,positive regulation of myelination,,,ISO,RGD:1309282 ,J:155856 
Rxra,retinoid X receptor alpha,2,,regulation of myelination,,,ISO,RGD:3610 ,J:155856 
Rxrb,retinoid X receptor beta,17,,regulation of myelination,,,ISO,RGD:3611 ,J:155856 
Rxrg,retinoid X receptor gamma,1,,regulation of myelination,,,ISO,RGD:620046 ,J:155856 
S100b,"S100 protein, beta polypeptide, neural",10,,positive regulation of myelination,,,ISO,RGD:3615 ,J:155856 
Serinc5,serine incorporator 5,13,,myelination,,,IDA,,J:105898 
Sgms1os1,Sgms1 opposite strand transcript 1,19,,positive regulation of myelination,,,IDA,,J:201967 
Sh3tc2,SH3 domain and tetratricopeptide repeats 2,18,,myelination in peripheral nervous system,,,IMP,MGI:4367025 ,J:198542 
Sh3tc2,SH3 domain and tetratricopeptide repeats 2,18,,peripheral nervous system myelin maintenance,,,IMP,MGI:4367025 ,J:153705 
Sirt2,sirtuin 2,7,,myelination in peripheral nervous system,,,IMP,,J:177468 
Sirt2,sirtuin 2,7,,myelination in peripheral nervous system,,,ISO,RGD:621481 ,J:155856 
Sirt2,sirtuin 2,7,,regulation of myelination,,,IMP,,J:177468 
Sirt2,sirtuin 2,7,,regulation of myelination,,,ISO,RGD:621481 ,J:155856 
Ski,ski sarcoma viral oncogene homolog (avian),4,,myelination in peripheral nervous system,happens in peripheral nerve,,IMP,MGI:2177555 ,J:96530 
Slc8a3,"solute carrier family 8 (sodium/calcium exchanger), member 3",12,,myelination,,,IMP,,J:203079 
Slc25a12,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",2,,positive regulation of myelination,,,ISO,RGD:1305181 ,J:155856 
Slc25a46,"solute carrier family 25, member 46",18,,myelination in peripheral nervous system,,,IMP,MGI:6358090 ,J:251671 
Sod1,"superoxide dismutase 1, soluble",16,,peripheral nervous system myelin maintenance,,,IMP,MGI:1857872 ,J:57385 
Sox10,SRY (sex determining region Y)-box 10,15,,central nervous system myelination,,,IMP,,J:205136 
Sox10,SRY (sex determining region Y)-box 10,15,,central nervous system myelination,,,IMP,,J:236148 
Sox10,SRY (sex determining region Y)-box 10,15,,positive regulation of myelination,,,ISO,RGD:3735 ,J:155856 
Tcf7l2,"transcription factor 7 like 2, T cell specific, HMG box",19,,regulation of myelination,,,IMP,,J:152576 
Tenm4,teneurin transmembrane protein 4,7,,central nervous system myelin formation,,,IMP,,J:187705 
Tenm4,teneurin transmembrane protein 4,7,,central nervous system myelin formation,,,ISO,Q6N022 ,J:164563 
Tenm4,teneurin transmembrane protein 4,7,,positive regulation of myelination,,,IMP,,J:187705 
Tenm4,teneurin transmembrane protein 4,7,,regulation of myelination,,,ISO,Q6N022 ,J:164563 
Tg,thyroglobulin,15,,regulation of myelination,,,IMP,MGI:1856829 ,J:3079 
Tgfb1,"transforming growth factor, beta 1",7,,myelination,,,ISO,RGD:69051 ,J:155856 
Tlr2,toll-like receptor 2,3,,central nervous system myelin formation,,,ISO,RGD:735138 ,J:155856 
Tmem98,transmembrane protein 98,11,,negative regulation of myelination,,,IMP,,J:267268 
Tmem163,transmembrane protein 163,1,,myelination,,,ISO,Q8TC26 ,J:164563 
Tnf,tumor necrosis factor,17,,negative regulation of myelination,,,ISO,RGD:3876 ,J:155856 
Tnfrsf1b,"tumor necrosis factor receptor superfamily, member 1b",4,,positive regulation of myelination,,,IBA,PTN002933906 ,J:265628 
Tnfrsf1b,"tumor necrosis factor receptor superfamily, member 1b",4,,positive regulation of myelination,"happens in oligodendrocyte,happens in oligodendrocyte precursor cell,regulates a function/process that happens in neuron,is a part of glial cell-neuron signaling",,IMP,,J:231813 
Tnfrsf1b,"tumor necrosis factor receptor superfamily, member 1b",4,,regulation of myelination,"happens in microglial cell,regulates a function/process that happens in UBERON:0006134,happens in spinal cord,regulates a function/process that happens in spinal cord,is a part of regulation of neuroinflammatory response",,IGI,Q9Z0D9 ,J:240627 
Tnfrsf21,"tumor necrosis factor receptor superfamily, member 21",17,,myelination,,,IMP,,J:205651 
Tnfrsf21,"tumor necrosis factor receptor superfamily, member 21",17,,negative regulation of myelination,,,IBA,PTN002930692 ,J:265628 
Tnfrsf21,"tumor necrosis factor receptor superfamily, member 21",17,,negative regulation of myelination,,,ISO,O75509 ,J:164563 
Tppp,tubulin polymerization promoting protein,13,,myelin assembly,,,IMP,,J:279928 
Tppp,tubulin polymerization promoting protein,13,,myelin assembly,,,ISO,RGD:1310121 ,J:155856 
Tppp,tubulin polymerization promoting protein,13,,positive regulation of myelination,,,IMP,,J:279928 
Tppp,tubulin polymerization promoting protein,13,,positive regulation of myelination,,,ISO,RGD:1310121 ,J:155856 
Trf,transferrin,9,,positive regulation of myelination,,,ISO,RGD:3845 ,J:155856 
Tsc1,TSC complex subunit 1,2,,myelination,,,IMP,MGI:2176055 MGI:2656240 ,J:121858 
Tspan2,tetraspanin 2,3,,myelination,,,IGI,MGI:97623 ,J:201143 
Tymp,thymidine phosphorylase,15,,regulation of myelination,,,ISO,P19971 ,J:164563 
Ugt8a,UDP galactosyltransferase 8A,3,,myelination,,,TAS,,J:78560 
Ugt8a,UDP galactosyltransferase 8A,3,,paranodal junction assembly,,,IMP,,J:107653 
Ulk4,unc-51-like kinase 4,9,,central nervous system myelination,,,IMP,MGI:4362969 ,J:250131 
Wasf3,"WASP family, member 3",5,,positive regulation of myelination,,,IDA,,J:109037 
Wasf3,"WASP family, member 3",5,,positive regulation of myelination,,,IMP,MGI:2663235 ,J:109037 
Xk,X-linked Kx blood group,X,,myelination,"happens in sciatic nerve,happens in spinal cord ventral horn",,IMP,MGI:5581658 ,J:206464 
Zfp24,zinc finger protein 24,18,,myelination,,,IMP,,J:156938 
Zfp488,zinc finger protein 488,14,,positive regulation of myelination,,,IDA,,J:263387 
Zpr1,ZPR1 zinc finger,9,,regulation of myelination,,,IMP,,J:184463 
