,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color,MGI.Gene.Marker.ID,Symbol,Name,Chr,Qualifier,Annotated.Term,Context,Proteoform,Evidence,Inferred.From,Reference.s.
141,Prkcg,8.59E-07,0.210062334,0.392,0.239,0.01676302,Prkcg,red,MGI:97597,Prkcg,"protein kinase C, gamma",7,,long-term synaptic potentiation,,,ISO,RGD:3397 ,J:155856 
142,Prkcg,8.59E-07,0.210062334,0.392,0.239,0.01676302,Prkcg,red,MGI:97597,Prkcg,"protein kinase C, gamma",7,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IDA,,J:220910 
143,Prkcg,8.59E-07,0.210062334,0.392,0.239,0.01676302,Prkcg,red,MGI:97597,Prkcg,"protein kinase C, gamma",7,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IMP,,J:220910 
144,Prkcg,8.59E-07,0.210062334,0.392,0.239,0.01676302,Prkcg,red,MGI:97597,Prkcg,"protein kinase C, gamma",7,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IDA,,J:220910 
145,Prkcg,8.59E-07,0.210062334,0.392,0.239,0.01676302,Prkcg,red,MGI:97597,Prkcg,"protein kinase C, gamma",7,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IMP,,J:220910 
130,Ptk2b,8.60E-07,0.229977863,0.356,0.211,0.016780381,Ptk2b,red,MGI:104908,Ptk2b,PTK2 protein tyrosine kinase 2 beta,14,,long-term synaptic depression,,,ISO,RGD:628758 ,J:155856 
131,Ptk2b,8.60E-07,0.229977863,0.356,0.211,0.016780381,Ptk2b,red,MGI:104908,Ptk2b,PTK2 protein tyrosine kinase 2 beta,14,,long-term synaptic potentiation,,,ISO,RGD:628758 ,J:155856 
132,Ptk2b,8.60E-07,0.229977863,0.356,0.211,0.016780381,Ptk2b,red,MGI:104908,Ptk2b,PTK2 protein tyrosine kinase 2 beta,14,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:628758 ,J:155856 
133,Ptk2b,8.60E-07,0.229977863,0.356,0.211,0.016780381,Ptk2b,red,MGI:104908,Ptk2b,PTK2 protein tyrosine kinase 2 beta,14,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:628758 ,J:155856 
134,Ptk2b,8.60E-07,0.229977863,0.356,0.211,0.016780381,Ptk2b,red,MGI:104908,Ptk2b,PTK2 protein tyrosine kinase 2 beta,14,,postsynaptic modulation of chemical synaptic transmission,,,ISO,RGD:628758 ,J:155856 
58,Ptn,2.09E-10,0.341197285,0.686,0.507,4.08E-06,Ptn,red,MGI:97804,Ptn,pleiotrophin,6,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:77465 
59,Ptn,2.09E-10,0.341197285,0.686,0.507,4.08E-06,Ptn,red,MGI:97804,Ptn,pleiotrophin,6,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:77465 
60,Ptn,2.09E-10,0.341197285,0.686,0.507,4.08E-06,Ptn,red,MGI:97804,Ptn,pleiotrophin,6,,negative regulation of long-term synaptic potentiation,,,IMP,,J:70253 
61,Ptn,2.09E-10,0.341197285,0.686,0.507,4.08E-06,Ptn,red,MGI:97804,Ptn,pleiotrophin,6,,negative regulation of long-term synaptic potentiation,,,IMP,,J:77465 
62,Ptn,2.09E-10,0.341197285,0.686,0.507,4.08E-06,Ptn,red,MGI:97804,Ptn,pleiotrophin,6,,regulation of synaptic plasticity,,,IMP,,J:70253 
88,Ptpn5,1.24E-07,0.289883614,0.574,0.437,0.002427547,Ptpn5,red,MGI:97807,Ptpn5,"protein tyrosine phosphatase, non-receptor type 5",7,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:3448 ,J:155856 
115,Ptprs,2.96E-08,0.264179347,0.759,0.583,0.000576829,Ptprs,red,MGI:97815,Ptprs,protein tyrosine phosphatase receptor type S,17,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:186269 
116,Ptprs,2.96E-08,0.264179347,0.759,0.583,0.000576829,Ptprs,red,MGI:97815,Ptprs,protein tyrosine phosphatase receptor type S,17,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:186269 
126,Rac1,3.53E-08,0.242155534,0.958,0.92,0.000688129,Rac1,red,MGI:97845,Rac1,Rac family small GTPase 1,5,,regulation of neuronal synaptic plasticity,happens in spinal cord dorsal horn,,IGI,MGI:2685385 ,J:222722 
127,Rac1,3.53E-08,0.242155534,0.958,0.92,0.000688129,Rac1,red,MGI:97845,Rac1,Rac family small GTPase 1,5,,regulation of neuronal synaptic plasticity,happens in spinal cord dorsal horn,,IMP,,J:222722 
79,Rapgef4,4.22E-09,0.312244552,0.462,0.292,8.23E-05,Rapgef4,red,MGI:1917723,Rapgef4,Rap guanine nucleotide exchange factor (GEF) 4,2,,negative regulation of synaptic transmission,,,ISO,RGD:621886 ,J:155856 
161,Rasgrf1,3.59E-08,-0.257318697,0.756,0.864,0.000700988,Rasgrf1,blue,MGI:99694,Rasgrf1,RAS protein-specific guanine nucleotide-releasing factor 1,9,,regulation of neuronal synaptic plasticity,,,IMP,MGI:2157015 ,J:73863 
162,Rasgrf1,3.59E-08,-0.257318697,0.756,0.864,0.000700988,Rasgrf1,blue,MGI:99694,Rasgrf1,RAS protein-specific guanine nucleotide-releasing factor 1,9,,regulation of synaptic plasticity,,,ISO,RGD:620395 ,J:155856 
39,Rgs4,7.35E-12,0.371193129,0.518,0.308,1.43E-07,Rgs4,red,MGI:108409,Rgs4,regulator of G-protein signaling 4,1,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:3567 ,J:155856 
1,Rtn4,6.40E-28,0.577789661,0.938,0.759,1.25E-23,Rtn4,red,MGI:1915835,Rtn4,reticulon 4,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,EXP,,J:265812 
2,Rtn4,6.40E-28,0.577789661,0.938,0.759,1.25E-23,Rtn4,red,MGI:1915835,Rtn4,reticulon 4,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:265812 
3,Rtn4,6.40E-28,0.577789661,0.938,0.759,1.25E-23,Rtn4,red,MGI:1915835,Rtn4,reticulon 4,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:265812 
91,Serpine2,3.20E-08,0.277197947,0.77,0.622,0.000623921,Serpine2,red,MGI:101780,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2",1,,long-term synaptic potentiation,,,IMP,MGI:2387774 ,J:40953 
92,Serpine2,3.20E-08,0.277197947,0.77,0.622,0.000623921,Serpine2,red,MGI:101780,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2",1,,"regulation of synaptic transmission, glutamatergic",,,IMP,MGI:2387774 ,J:94811 
120,Shank1,3.28E-08,0.247809416,0.403,0.239,0.000639982,Shank1,red,MGI:3613677,Shank1,SH3 and multiple ankyrin repeat domains 1,7,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:132277 
121,Shank1,3.28E-08,0.247809416,0.403,0.239,0.000639982,Shank1,red,MGI:3613677,Shank1,SH3 and multiple ankyrin repeat domains 1,7,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IEP,,J:132277 
122,Shank1,3.28E-08,0.247809416,0.403,0.239,0.000639982,Shank1,red,MGI:3613677,Shank1,SH3 and multiple ankyrin repeat domains 1,7,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:132277 
123,Shank1,3.28E-08,0.247809416,0.403,0.239,0.000639982,Shank1,red,MGI:3613677,Shank1,SH3 and multiple ankyrin repeat domains 1,7,,positive regulation of excitatory postsynaptic potential,,,IMP,,J:132277 
4,Slc24a2,4.53E-24,0.53909615,0.597,0.293,8.85E-20,Slc24a2,red,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic depression,,,IBA,PTN000851795 ,J:265628 
5,Slc24a2,4.53E-24,0.53909615,0.597,0.293,8.85E-20,Slc24a2,red,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic depression,,,IMP,MGI:3663782 ,J:110313 
6,Slc24a2,4.53E-24,0.53909615,0.597,0.293,8.85E-20,Slc24a2,red,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic potentiation,,,IBA,PTN000851795 ,J:265628 
7,Slc24a2,4.53E-24,0.53909615,0.597,0.293,8.85E-20,Slc24a2,red,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic potentiation,,,IMP,MGI:3663782 ,J:110313 
95,Slc38a2,3.87E-08,0.27343193,0.476,0.31,0.000754873,Slc38a2,red,MGI:1915010,Slc38a2,"solute carrier family 38, member 2",15,,"regulation of glutamate secretion, neurotransmission",,,ISO,RGD:69420 ,J:155856 
21,Snap25,5.69E-28,0.450984232,1,0.996,1.11E-23,Snap25,red,MGI:98331,Snap25,synaptosomal-associated protein 25,2,,long-term synaptic potentiation,,,IMP,,J:197846 
22,Snap25,5.69E-28,0.450984232,1,0.996,1.11E-23,Snap25,red,MGI:98331,Snap25,synaptosomal-associated protein 25,2,,positive regulation of synaptic plasticity,,PR:P60879-2,EXP,MGI:3821974 ,J:94005 
23,Snap25,5.69E-28,0.450984232,1,0.996,1.11E-23,Snap25,red,MGI:98331,Snap25,synaptosomal-associated protein 25,2,,short-term synaptic potentiation,,PR:P60879-2,EXP,MGI:3821974 ,J:94005 
40,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,long-term synaptic potentiation,,,IMP,MGI:2154692 ,J:134812 
41,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,positive regulation of neurotransmitter secretion,positively regulates neurotransmitter secretion,,IDA,,J:94390 
42,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,positive regulation of synaptic transmission,,,IMP,MGI:1888382 ,J:101275 
43,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of long-term neuronal synaptic plasticity,happens in hippocampus,,IMP,MGI:2429773 ,J:94390 
44,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neuronal synaptic plasticity,happens in hippocampus CA1,,IMP,MGI:2429773 ,J:126092 
45,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IGI,MGI:1298397 ,J:132938 
46,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IMP,MGI:1888382 ,J:60151 
47,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IMP,MGI:2389489 ,J:79784 
48,Snca,2.02E-10,0.355747266,0.669,0.492,3.94E-06,Snca,red,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IMP,MGI:2429773 ,J:94390 
80,Sv2b,2.04E-09,0.304864161,0.412,0.232,3.99E-05,Sv2b,red,MGI:1927338,Sv2b,synaptic vesicle glycoprotein 2b,7,,regulation of synaptic vesicle exocytosis,happens in retina,,IDA,,J:163164 
81,Sv2b,2.04E-09,0.304864161,0.412,0.232,3.99E-05,Sv2b,red,MGI:1927338,Sv2b,synaptic vesicle glycoprotein 2b,7,,regulation of synaptic vesicle exocytosis,happens in retina,,IMP,,J:163164 
124,Syngr1,2.43E-07,0.242167518,0.821,0.729,0.0047331,Syngr1,red,MGI:1328323,Syngr1,synaptogyrin 1,15,,regulation of long-term neuronal synaptic plasticity,,,IMP,,J:58559 
125,Syngr1,2.43E-07,0.242167518,0.821,0.729,0.0047331,Syngr1,red,MGI:1328323,Syngr1,synaptogyrin 1,15,,regulation of short-term neuronal synaptic plasticity,,,IMP,,J:58559 
72,Synpr,5.44E-09,0.327324477,0.468,0.29,0.000106087,Synpr,red,MGI:1919253,Synpr,synaptoporin,14,,modulation of chemical synaptic transmission,,,ISO,RGD:708366 ,J:155856 
24,Syt1,9.82E-18,0.445558784,0.93,0.772,1.92E-13,Syt1,red,MGI:99667,Syt1,synaptotagmin I,10,,positive regulation of calcium ion-dependent exocytosis of neurotransmitter,,,IMP,,J:76452 
25,Syt1,9.82E-18,0.445558784,0.93,0.772,1.92E-13,Syt1,red,MGI:99667,Syt1,synaptotagmin I,10,,positive regulation of synaptic transmission,happens in hippocampal pyramidal neuron,,IMP,,J:21602 
26,Syt1,9.82E-18,0.445558784,0.93,0.772,1.92E-13,Syt1,red,MGI:99667,Syt1,synaptotagmin I,10,,"regulation of synaptic transmission, glutamatergic",happens in hippocampal neuron,,IMP,,J:89486 
27,Syt1,9.82E-18,0.445558784,0.93,0.772,1.92E-13,Syt1,red,MGI:99667,Syt1,synaptotagmin I,10,,regulation of synaptic vesicle exocytosis,,,ISO,RGD:3803 ,J:155856 
93,Tac1,1.85E-06,0.276409975,0.549,0.402,0.036010695,Tac1,red,MGI:98474,Tac1,tachykinin 1,6,,"positive regulation of synaptic transmission, cholinergic",,,ISO,RGD:3807 ,J:155856 
94,Tac1,1.85E-06,0.276409975,0.549,0.402,0.036010695,Tac1,red,MGI:98474,Tac1,tachykinin 1,6,,"positive regulation of synaptic transmission, GABAergic",,,ISO,RGD:3807 ,J:155856 
129,Unc13c,3.10E-09,0.232943321,0.305,0.142,6.04E-05,Unc13c,red,MGI:2149021,Unc13c,unc-13 homolog C,9,,negative regulation of synaptic plasticity,regulates a function/process that happens in calyx of Held,,IGI,Q9Z1N9 ,J:197134 
148,Ywhag,8.59E-08,0.208785703,0.989,0.974,0.001675271,Ywhag,red,MGI:108109,Ywhag,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide",5,,regulation of synaptic plasticity,,,ISO,P61981 ,J:164563 
