MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:99578,Drd1,dopamine receptor D1,13,,"positive regulation of synaptic transmission, glutamatergic","positively regulates synaptic transmission, glutamatergic",,IMP,MGI:1857158 ,J:35286 
MGI:99578,Drd1,dopamine receptor D1,13,,postsynaptic modulation of chemical synaptic transmission,,,ISO,RGD:2518 ,J:155856 
MGI:99578,Drd1,dopamine receptor D1,13,,presynaptic modulation of chemical synaptic transmission,happens in corpus striatum,,EXP,,J:200058 
MGI:99578,Drd1,dopamine receptor D1,13,,presynaptic modulation of chemical synaptic transmission,happens in corpus striatum,,IDA,,J:200058 
MGI:94924,Drd2,dopamine receptor D2,9,,modulation of chemical synaptic transmission,regulates chemical synaptic transmission,,IMP,MGI:1857875 ,J:119592 
MGI:94924,Drd2,dopamine receptor D2,9,,negative regulation of synaptic transmission,,,ISO,RGD:2520 ,J:155856 
MGI:94924,Drd2,dopamine receptor D2,9,,"negative regulation of synaptic transmission, glutamatergic",,,IBA,PTN007782780 ,J:265628 
MGI:94924,Drd2,dopamine receptor D2,9,,"negative regulation of synaptic transmission, glutamatergic",,,IMP,MGI:1857875 ,J:103965 
MGI:94924,Drd2,dopamine receptor D2,9,,"negative regulation of synaptic transmission, glutamatergic",,PR:P61168-2,IMP,MGI:2387895 ,J:109311 
MGI:94924,Drd2,dopamine receptor D2,9,,"negative regulation of synaptic transmission, glutamatergic",,PR:P61168-2,IMP,MGI:2675755 ,J:109311 
MGI:94924,Drd2,dopamine receptor D2,9,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:2520 ,J:155856 
MGI:94924,Drd2,dopamine receptor D2,9,,postsynaptic modulation of chemical synaptic transmission,,,ISO,RGD:2520 ,J:155856 
MGI:94924,Drd2,dopamine receptor D2,9,,presynaptic modulation of chemical synaptic transmission,happens in corpus striatum,,EXP,,J:200058 
MGI:94924,Drd2,dopamine receptor D2,9,,presynaptic modulation of chemical synaptic transmission,"happens in dopaminergic synapse,happens in corpus striatum",,EXP,,J:79144 
MGI:94924,Drd2,dopamine receptor D2,9,,presynaptic modulation of chemical synaptic transmission,happens in corpus striatum,,IDA,,J:200058 
MGI:94924,Drd2,dopamine receptor D2,9,,presynaptic modulation of chemical synaptic transmission,"happens in dopaminergic synapse,happens in corpus striatum",,IDA,,J:79144 
MGI:94924,Drd2,dopamine receptor D2,9,,presynaptic modulation of chemical synaptic transmission,"happens in dopaminergic synapse,happens in corpus striatum",,IMP,,J:79144 
MGI:94924,Drd2,dopamine receptor D2,9,,regulation of long-term neuronal synaptic plasticity,happens in corpus striatum,,IMP,MGI:2387895 ,J:40956 
MGI:94924,Drd2,dopamine receptor D2,9,,"regulation of synaptic transmission, GABAergic",,,IGI,MGI:99402 ,J:112280 
MGI:94924,Drd2,dopamine receptor D2,9,,"regulation of synaptic transmission, GABAergic","regulates synaptic transmission, GABAergic,regulates synaptic transmission, GABAergic",PR:P61168-2PR:P61168-1,IMP,MGI:2387895 ,J:109311 
MGI:94924,Drd2,dopamine receptor D2,9,,"regulation of synaptic transmission, GABAergic","regulates synaptic transmission, GABAergic",,IMP,MGI:2387895 ,J:91838 
MGI:94924,Drd2,dopamine receptor D2,9,,"regulation of synaptic transmission, GABAergic","regulates synaptic transmission, GABAergic,regulates synaptic transmission, GABAergic",PR:P61168-2PR:P61168-1,IMP,MGI:2675755 ,J:109311 
MGI:94925,Drd3,dopamine receptor D3,16,,"negative regulation of synaptic transmission, glutamatergic",,,IBA,PTN007782780 ,J:265628 
MGI:94926,Drd4,dopamine receptor D4,7,,negative regulation of synaptic transmission,,,ISO,RGD:2522 ,J:155856 
MGI:94926,Drd4,dopamine receptor D4,7,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:2522 ,J:155856 
MGI:94926,Drd4,dopamine receptor D4,7,,presynaptic modulation of chemical synaptic transmission,,,ISO,RGD:2522 ,J:155856 
MGI:94926,Drd4,dopamine receptor D4,7,,regulation of neurotransmitter secretion,,,ISO,RGD:2522 ,J:155856 
MGI:94927,Drd5,dopamine receptor D5,5,,long-term synaptic depression,,,IMP,,J:100026 
MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization,,,ISO,RGD:1590759 ,J:155856 
MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,positive regulation of neurotransmitter secretion,,,IMP,,J:137024 
MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,regulation of synaptic vesicle exocytosis,,,IBA,PTN002702071 ,J:265628 
MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,regulation of synaptic vesicle exocytosis,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:137024 
MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,regulation of synaptic vesicle exocytosis,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:137024 
MGI:94941,Dvl1,dishevelled segment polarity protein 1,4,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:620632 ,J:155856 
MGI:94941,Dvl1,dishevelled segment polarity protein 1,4,,regulation of synaptic vesicle exocytosis,happens in Schaffer collateral - CA1 synapse,,IDA,,J:227221 
MGI:94941,Dvl1,dishevelled segment polarity protein 1,4,,regulation of synaptic vesicle exocytosis,happens in Schaffer collateral - CA1 synapse,,IMP,,J:227221 
MGI:94941,Dvl1,dishevelled segment polarity protein 1,4,,regulation of synaptic vesicle exocytosis,happens in Schaffer collateral - CA1 synapse,,IPI,,J:227221 
MGI:95283,Edn1,endothelin 1,13,,rhythmic excitation,,,IMP,MGI:1857637 ,J:34053 
MGI:95285,Edn3,endothelin 3,2,,regulation of neurotransmitter secretion,,,ISO,RGD:2534 ,J:155856 
MGI:109196,Efnb3,ephrin B3,11,,positive regulation of synaptic transmission,,,ISO,RGD:2541 ,J:155856 
MGI:109196,Efnb3,ephrin B3,11,,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission","happens in hippocampal mossy fiber to CA3 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:107247 
MGI:109196,Efnb3,ephrin B3,11,,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation,happens in hippocampal mossy fiber to CA3 synapse",,IMP,,J:107247 
MGI:95294,Egfr,epidermal growth factor receptor,11,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2543 ,J:155856 
MGI:95295,Egr1,early growth response 1,18,,regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2544 ,J:155856 
MGI:1353427,Eif2ak4,eukaryotic translation initiation factor 2 alpha kinase 4,2,,positive regulation of long-term synaptic potentiation,,,IMP,,J:100646 
MGI:1923731,Eif4a3,eukaryotic translation initiation factor 4A3,11,,negative regulation of excitatory postsynaptic potential,,,ISO,RGD:1591139 ,J:155856 
MGI:1923731,Eif4a3,eukaryotic translation initiation factor 4A3,11,,"regulation of translation at postsynapse, modulating synaptic transmission",,,ISO,RGD:1591139 ,J:155856 
MGI:3644226,Eif4a3l1,eukaryotic translation initiation factor 4A3 like 1,6,,negative regulation of excitatory postsynaptic potential,,,ISO,RGD:1591139 ,J:155856 
MGI:3644226,Eif4a3l1,eukaryotic translation initiation factor 4A3 like 1,6,,"regulation of translation at postsynapse, modulating synaptic transmission",,,ISO,RGD:1591139 ,J:155856 
MGI:3646594,Eif4a3l2,eukaryotic translation initiation factor 4A3 like 2,6,,negative regulation of excitatory postsynaptic potential,,,ISO,RGD:1591139 ,J:155856 
MGI:3646594,Eif4a3l2,eukaryotic translation initiation factor 4A3 like 2,6,,"regulation of translation at postsynapse, modulating synaptic transmission",,,ISO,RGD:1591139 ,J:155856 
MGI:95305,Eif4e,eukaryotic translation initiation factor 4E,3,,"regulation of translation at postsynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in corpus striatum,happens in glutamatergic synapse,happens in hippocampal formation,happens in glutamatergic synapse,happens in cerebral cortex",,IDA,,J:194400 
MGI:95305,Eif4e,eukaryotic translation initiation factor 4E,3,,"regulation of translation at postsynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in corpus striatum,happens in glutamatergic synapse,happens in cerebral cortex,happens in glutamatergic synapse,happens in hippocampal formation",,IEP,,J:194400 
MGI:95305,Eif4e,eukaryotic translation initiation factor 4E,3,,"regulation of translation at postsynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in cerebral cortex,happens in glutamatergic synapse,happens in hippocampal formation,happens in glutamatergic synapse,happens in corpus striatum",,IMP,,J:194400 
MGI:109198,Eif4ebp2,eukaryotic translation initiation factor 4E binding protein 2,10,,modulation of chemical synaptic transmission,,,IDA,,J:162956 
MGI:109198,Eif4ebp2,eukaryotic translation initiation factor 4E binding protein 2,10,,modulation of chemical synaptic transmission,,,IMP,,J:194221 
MGI:109198,Eif4ebp2,eukaryotic translation initiation factor 4E binding protein 2,10,,regulation of synaptic plasticity,,,IMP,,J:102163 
MGI:109198,Eif4ebp2,eukaryotic translation initiation factor 4E binding protein 2,10,,regulation of synaptic plasticity,,,IMP,,J:162956 
MGI:97370,Enpp1,ectonucleotide pyrophosphatase/phosphodiesterase 1,10,,long-term synaptic potentiation,"is a part of response to dietary excess,happens in hippocampus",,IMP,MGI:5607149 ,J:301539 
MGI:98277,Epha4,Eph receptor A4,1,,negative regulation of long-term synaptic potentiation,regulates a function/process that happens in hippocampus CA1,,IGI,CPX-1134 P00520 ,J:214156 
MGI:95276,Epha7,Eph receptor A7,4,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in cerebral cortex",,IDA,,J:208865 
MGI:95276,Epha7,Eph receptor A7,4,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in cerebral cortex",,IMP,,J:208865 
MGI:1096337,Ephb1,Eph receptor B1,9,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in spinal cord",,IDA,,J:243967 
MGI:1096337,Ephb1,Eph receptor B1,9,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in spinal cord",,IEP,,J:243967 
MGI:1096337,Ephb1,Eph receptor B1,9,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in spinal cord",,IMP,,J:243967 
MGI:99611,Ephb2,Eph receptor B2,4,,positive regulation of long-term neuronal synaptic plasticity,,,IMP,MGI:2149765 ,J:73504 
MGI:99611,Ephb2,Eph receptor B2,4,,positive regulation of long-term synaptic potentiation,happens in dentate gyrus of hippocampal formation granule cell,,IMP,,J:167228 
MGI:99611,Ephb2,Eph receptor B2,4,,positive regulation of synaptic plasticity,happens in dentate gyrus,,IGI,P05067 ,J:167228 
MGI:99611,Ephb2,Eph receptor B2,4,,regulation of neuronal synaptic plasticity,,,IMP,MGI:2149765 ,J:73508 
MGI:99611,Ephb2,Eph receptor B2,4,,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission","happens in excitatory synapse,happens in pyramidal neuron,happens in hippocampus CA3",,IMP,,J:238466 
MGI:104771,Erbb4,erb-b2 receptor tyrosine kinase 4,1,,"positive regulation of synaptic transmission, GABAergic",,,ISO,RGD:620486 ,J:155856 
MGI:2151013,Erc1,ELKS/RAB6-interacting/CAST family member 1,6,,regulation of synaptic plasticity,,,IBA,PTN002705826 ,J:265628 
MGI:1098749,Erc2,ELKS/RAB6-interacting/CAST family member 2,14,,regulation of synaptic plasticity,,,IBA,PTN002705826 ,J:265628 
MGI:101802,F2r,coagulation factor II thrombin receptor,13,,"trans-synaptic signaling by endocannabinoid, modulating synaptic transmission","happens in inhibitory synapse,happens in hippocampal neuron",,IMP,,J:237680 
MGI:3041256,Fam107a,"family with sequence similarity 107, member A",14,,negative regulation of long-term synaptic potentiation,,,IMP,,J:262339 
MGI:1919444,Fbxl20,F-box and leucine-rich repeat protein 20,11,,"regulation of protein catabolic process at presynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:127941 
MGI:1919444,Fbxl20,F-box and leucine-rich repeat protein 20,11,,"regulation of protein catabolic process at presynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IEP,,J:127941 
MGI:1919444,Fbxl20,F-box and leucine-rich repeat protein 20,11,,"regulation of protein catabolic process at presynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:127941 
MGI:1919444,Fbxl20,F-box and leucine-rich repeat protein 20,11,,"regulation of protein catabolic process at presynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IPI,,J:127941 
MGI:1919444,Fbxl20,F-box and leucine-rich repeat protein 20,11,,regulation of synaptic vesicle exocytosis,happens in Schaffer collateral - CA1 synapse,,IDA,,J:127941 
MGI:1919444,Fbxl20,F-box and leucine-rich repeat protein 20,11,,regulation of synaptic vesicle exocytosis,happens in Schaffer collateral - CA1 synapse,,IMP,,J:127941 
MGI:2446216,Fbxo2,F-box protein 2,4,,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:97815 
MGI:2446216,Fbxo2,F-box protein 2,4,,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:97815 
MGI:2446216,Fbxo2,F-box protein 2,4,,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IPI,,J:97815 
MGI:2447775,Fbxo45,F-box protein 45,16,,regulation of synaptic vesicle exocytosis,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:159767 
MGI:2447775,Fbxo45,F-box protein 45,16,,regulation of synaptic vesicle exocytosis,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:159767 
MGI:95499,Fcgr2b,"Fc receptor, IgG, low affinity IIb",1,,regulation of long-term neuronal synaptic plasticity,"happens in UBERON:0001954,regulates a function/process that happens in UBERON:0001954",,IMP,,J:201623 
MGI:109189,Fgf14,fibroblast growth factor 14,14,,regulation of synaptic plasticity,,,ISO,Q8R5L7 ,J:73065 
MGI:1100500,Flot1,flotillin 1,17,,"positive regulation of synaptic transmission, dopaminergic","uses UniProtKB:Q61327,happens at the same time as protein kinase C signaling",,IMP,,J:220508 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,negative regulation of long-term synaptic depression,,,IMP,,J:70178 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,negative regulation of synaptic vesicle exocytosis,,,ISO,RGD:2623 ,J:155856 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,positive regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2623 ,J:155856 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,positive regulation of long-term synaptic depression,,,ISO,RGD:2623 ,J:155856 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:2623 ,J:155856 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,positive regulation of synaptic transmission,,,ISO,RGD:2623 ,J:155856 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,regulation of neurotransmitter secretion,,,ISO,RGD:2623 ,J:155856 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,"regulation of translation at postsynapse, modulating synaptic transmission",happens in Schaffer collateral - CA1 synapse,,IDA,,J:76865 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,"regulation of translation at postsynapse, modulating synaptic transmission","happens in hippocampal neuron,regulates_translation_of Arc",,IMP,,J:145490 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,"regulation of translation at postsynapse, modulating synaptic transmission",happens in Schaffer collateral - CA1 synapse,,IMP,,J:76865 
MGI:95564,Fmr1,fragile X messenger ribonucleoprotein 1,X,,"regulation of translation at presynapse, modulating synaptic transmission",,,ISO,RGD:2623 ,J:155856 
MGI:2442704,Frrs1l,ferric-chelate reductase 1 like,4,,"regulation of synaptic transmission, glutamatergic",,,IMP,,J:294276 
MGI:104860,Fxr1,FMR1 autosomal homolog 1,3,,negative regulation of long-term synaptic potentiation,,,IMP,,J:218753 
MGI:104860,Fxr1,FMR1 autosomal homolog 1,3,,"regulation of synaptic transmission, glutamatergic",,,IMP,,J:218753 
MGI:95602,Fyn,Fyn proto-oncogene,10,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:3417 
MGI:95602,Fyn,Fyn proto-oncogene,10,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:3417 
MGI:1860139,Gabbr1,gamma-aminobutyric acid type B receptor subunit 1,17,,negative regulation of synaptic transmission,,,ISO,RGD:621537 ,J:155856 
MGI:95625,Gabrr1,gamma-aminobutyric acid type A receptor subunit rho 1,4,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in retina",,EXP,,J:76682 
MGI:95625,Gabrr1,gamma-aminobutyric acid type A receptor subunit rho 1,4,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in retina,happens in GABA-ergic synapse,happens in retina",,IDA,,J:76682 
MGI:95625,Gabrr1,gamma-aminobutyric acid type A receptor subunit rho 1,4,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in retina,happens in GABA-ergic synapse,happens in retina",,IMP,,J:76682 
MGI:95697,Gfap,glial fibrillary acidic protein,11,,long-term synaptic potentiation,,,IMP,MGI:1857176 ,J:64290 
MGI:1930008,Ghrl,ghrelin,6,,postsynaptic modulation of chemical synaptic transmission,,,ISO,RGD:632283 ,J:155856 
MGI:2441906,Ghsr,growth hormone secretagogue receptor,3,,postsynaptic modulation of chemical synaptic transmission,,,ISO,RGD:621397 ,J:155856 
MGI:107504,Gip,gastric inhibitory polypeptide,11,,long-term synaptic potentiation,,,ISO,RGD:2709 ,J:155856 
MGI:107504,Gip,gastric inhibitory polypeptide,11,,positive regulation of synaptic transmission,,,ISO,RGD:2709 ,J:155856 
MGI:1926252,Gipc1,"GIPC PDZ domain containing family, member 1",8,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:111724 
MGI:1926252,Gipc1,"GIPC PDZ domain containing family, member 1",8,,presynaptic modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:111724 
MGI:1926252,Gipc1,"GIPC PDZ domain containing family, member 1",8,,regulation of synaptic plasticity,,,IMP,MGI:3663921 ,J:111724 
MGI:1927140,Git1,GIT ArfGAP 1,11,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IDA,,J:228729 
MGI:1927140,Git1,GIT ArfGAP 1,11,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IMP,,J:228729 
MGI:1927140,Git1,GIT ArfGAP 1,11,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IDA,,J:228729 
MGI:1927140,Git1,GIT ArfGAP 1,11,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IMP,,J:228729 
MGI:1347053,Git2,GIT ArfGAP 2,5,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IDA,,J:228729 
MGI:1347053,Git2,GIT ArfGAP 2,5,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IMP,,J:228729 
MGI:1347053,Git2,GIT ArfGAP 2,5,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IDA,,J:228729 
MGI:1347053,Git2,GIT ArfGAP 2,5,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IMP,,J:228729 
MGI:95749,Glra3,"glycine receptor, alpha 3 subunit",8,,presynaptic modulation of chemical synaptic transmission,"happens in glycinergic synapse,happens in brainstem",,IDA,,J:231366 
MGI:95749,Glra3,"glycine receptor, alpha 3 subunit",8,,presynaptic modulation of chemical synaptic transmission,"happens in glycinergic synapse,happens in brainstem",,IMP,,J:231366 
MGI:95739,Glul,glutamate-ammonia ligase,1,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2710 ,J:155856 
MGI:95771,Gnai1,G protein subunit alpha i1,5,,negative regulation of synaptic transmission,,,ISO,RGD:2713 ,J:155856 
MGI:95772,Gnai2,G protein subunit alpha i2,9,,negative regulation of synaptic transmission,,,ISO,RGD:620243 ,J:155856 
MGI:95774,Gnal,"guanine nucleotide binding protein, alpha stimulating, olfactory type",18,,regulation of long-term synaptic depression,,,ISO,RGD:2715 ,J:155856 
MGI:1924104,Gper1,G protein-coupled estrogen receptor 1,5,,modulation of chemical synaptic transmission,happens in hippocampal mossy fiber to CA3 synapse,,EXP,,J:263385 
MGI:1924104,Gper1,G protein-coupled estrogen receptor 1,5,,modulation of chemical synaptic transmission,happens in hippocampal mossy fiber to CA3 synapse,,IDA,,J:263385 
MGI:2441697,Gpr158,G protein-coupled receptor 158,2,,positive regulation of neurotransmitter secretion,,,IDA,,J:246056 
MGI:95808,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",11,,long-term synaptic depression,,,IGI,MGI:99401 ,J:204158 
MGI:95808,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",11,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95808,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",11,,modulation of chemical synaptic transmission,,,ISO,RGD:621531 ,J:155856 
MGI:95808,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",11,,positive regulation of synaptic transmission,,,ISO,RGD:621531 ,J:155856 
MGI:95808,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",11,,regulation of synaptic plasticity,,,ISO,RGD:621531 ,J:155856 
MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,positive regulation of synaptic transmission,,,ISO,RGD:61862 ,J:155856 
MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,"regulation of synaptic transmission, glutamatergic",,,ISO,RGD:61862 ,J:155856 
MGI:95810,Gria3,"glutamate receptor, ionotropic, AMPA3 (alpha 3)",X,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95811,Gria4,"glutamate receptor, ionotropic, AMPA4 (alpha 4)",9,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95811,Gria4,"glutamate receptor, ionotropic, AMPA4 (alpha 4)",9,,modulation of chemical synaptic transmission,,,ISO,RGD:61863 ,J:155856 
MGI:95811,Gria4,"glutamate receptor, ionotropic, AMPA4 (alpha 4)",9,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:61863 ,J:155856 
MGI:95812,Grid1,"glutamate receptor, ionotropic, delta 1",14,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95813,Grid2,"glutamate receptor, ionotropic, delta 2",6,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95813,Grid2,"glutamate receptor, ionotropic, delta 2",6,,positive regulation of long-term synaptic depression,,,ISO,O43424 ,J:164563 
MGI:2176213,Grid2ip,"glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1",5,,long-term synaptic depression,,,IMP,MGI:3796575 ,J:136382 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,modulation of excitatory postsynaptic potential,,,ISO,RGD:2732 ,J:155856 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,"negative regulation of synaptic transmission, GABAergic",,,ISO,RGD:2732 ,J:155856 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,"negative regulation of synaptic transmission, glutamatergic",happens in presynapse,,IGI,MGI:95815 ,J:97340 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,"negative regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2732 ,J:155856 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,"positive regulation of synaptic transmission, GABAergic","positively regulates synaptic transmission, GABAergic",,IMP,MGI:2176347 ,J:129352 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,"positive regulation of synaptic transmission, GABAergic",,,ISO,RGD:2732 ,J:155856 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,presynaptic modulation of chemical synaptic transmission,happens in presynapse,,IGI,MGI:95815 ,J:97340 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,regulation of long-term neuronal synaptic plasticity,,,TAS,,J:96591 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,regulation of short-term neuronal synaptic plasticity,,,ISO,RGD:2732 ,J:155856 
MGI:95814,Grik1,"glutamate receptor, ionotropic, kainate 1",16,,regulation of short-term neuronal synaptic plasticity,,,TAS,,J:96591 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,modulation of chemical synaptic transmission,,,ISO,Q13002 ,J:164563 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,modulation of excitatory postsynaptic potential,,,ISO,RGD:2733 ,J:155856 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,"negative regulation of synaptic transmission, glutamatergic",happens in presynapse,,IGI,MGI:95814 ,J:97340 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,"negative regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2733 ,J:155856 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,positive regulation of synaptic transmission,,,ISO,Q13002 ,J:164563 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,presynaptic modulation of chemical synaptic transmission,happens in presynapse,,IGI,MGI:95814 ,J:97340 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,regulation of long-term neuronal synaptic plasticity,happens in substantia gelatinosa,,IMP,MGI:1857979 ,J:104051 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,regulation of long-term neuronal synaptic plasticity,happens in hippocampus,,IMP,MGI:1857979 ,J:89599 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,regulation of long-term neuronal synaptic plasticity,happens in hippocampus,,IMP,MGI:1857979 ,J:91763 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,regulation of long-term neuronal synaptic plasticity,"happens in amygdala,happens in auditory cortex",,IMP,MGI:1857979 ,J:98109 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,regulation of short-term neuronal synaptic plasticity,,,IMP,MGI:1857979 ,J:91763 
MGI:95815,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",10,,regulation of short-term neuronal synaptic plasticity,,,ISO,Q13002 ,J:164563 
